,0
0,lines:   hi  i've noticed save model with mapping plane positioned carefully d file reload restarting d default position orientation  save prj file positions/orientation preserved  anyone information stored d file  nothing explicitly said manual saving texture rule prj file  i'd like able read texture rule information anyone  format prj file  cel file format available somewhere  rych   rycharde hawkes				email:  virtual environment laboratory dept psychology			tel  : +    univ edinburgh			fax  : +     
1,lines:   article   stephen writes:  seems koresh yet another messenger got killed for message carried which say nothing   seems be barring evidence contrary koresh simply another deranged fanatic thought neccessary take whole bunch folk him child all satisfy delusional mania jim jones circa   in time sure learned lot evil corruption are surprised thing gotten rotten  nope - fruitcake like koresh demonstrating evil corruption century --  old frog's almanac - salute old frog hisse'f ryugen fisher        - v  - x sco xenix  gt    ladysmith british columbia canada serving central vancouver island   public access usenet internet - home holocaust almanac 
2,x-sender: newtout  feb   lines:   message apr  :  writes:   in article   mark brader   writes:  mb                                                             mb  figure seems unlikely actually anything perijove  jgsorry perijovesi'm used talking language  periapsis apoapsis     --- msged  
3,lines:     request like see charley wingate respond charley challenge and judging e-mail appear quite you    clear mr wingate intends continue post tangential unrelated article ingoring challenge themselves  last two re-postings challenge noted perhaps dozen post mr wingate none answered single challenge    seems unmistakable mr wingate hope question go away level best change like suggest impress upon desire answer following manner:   ignore future article mr wingate address challenge answer explictly announces refuse so  --or--   must respond article include within something similar following:      please answer question posed charley challenge  really i'm looking humiliate anyone here honest answer  think honesty much ask devout christian you    nevermind rhetorical question  --dave wood 
4,lines:  distribution: na   aw&st  brief blurb manned lunar exploration confernce may  crystal city virginia auspex aiaa  anyone this  much attend  anyone go  pat 
5,lines:  in-reply-to:    sn mozumder  writes:  horrible death resulted atheism anything else  definitely quite horrible death result atheist theist  i'm sure bobby list quite atheist side fails recognize theist equally proficient genocide  perhaps since i'm bit weak history somone like give list war caused/led theist  think hitler claimed christian example complete list probably effective showing bobby absurd statement is   peace  side note notice always sign post peace  perhaps take advice leave atheist peace belief   bobby mozumder  nanci   and sure of author quote send email nmw+@andrewcmuedu: lying deeply ingrained lying others  
6,x-sender: newtout  feb   lines:   mark prado    please go step further: how clementine associated mining    old pioneer song 's go follows:      in cavern canyon    excavating mine    dwelt miner forty-niner    daughter clementine    chorus:   oh darling oh darling    oh darling clementine    lost gone forever    oh darling clementine     i've also explained but confirmed reliable data source clementine acronym  something like combined lunar elemental mapper experiment extended non terrestrial intercept near earth  personally think acronym made fit name if really acronym  ------------------------------------------------------------------  wale larrison                           space technology investor  --- maximus wb 
7,keywords: do arm qt compact video reply-to:  lines:   article   robert c barris writes:                                                                      got see unit displaying full-screen movie using compactvideo codec which nice little blockiness showing clip jaw backdraft  high frame rate boot like fps  acorn replay running mhz arm  processor the arm  % slower arm  software off standard cd-rom  bit colour resolution so computer  bit colour support real-time dithering too d/o supposed couple dsps - arm used housekeeping  i'm sure centris/mhz  stack  mhz arm the do box obviously arm faster much  mhz arm xx clock around  arm mips  flat out depends really surrounding system whether talking armx armxx the latter cache essential run kind speed slower memory  i'll stop saying thing 'cos i'll hopefully working arm graduation  mike  p pay heed rep philip say; d/o beat    pant di i'll eat postscript --  \  /  / michael williams                     part ii computer science tripos \/\/\                           university cambridge   cymdeithas genedlaethol traddodiad troi teigrod mwythus ben waered 
8,lines:   article   daniel burstein writes: a short story newspaper day ago made sort mention about japanese using sounded like gravity assist managed crash or crash-land package moon  hiten engineering-test mission spent highly eccentric earth orbit lunar flybys inserted lunar orbit using tricky gravity-assist-like maneuvering  meant crash moon eventually since stable lunar orbit a far anyone know believe recall hearing recently happen --  work man's work              henry spencer @ u toronto zoology                     - kipling               utzoohenry 
9,reply-to:  dane hendrix lines:   i'm interested find involved processing pair  stereo photograph  black-and-white photo like  obtain surface contour  i'd prefer processing sgi interested hearing software/hardware used type image processing  email and/or post compsyssgigraphics response  thanks  dane hendrix                               email:   dtmb aka headquarters carderock div   naval surface warfare center                 code  bethesda md -         phone: - 
10,lines:  distribution: world  article   ron baalke writes: comet gehrels  discovered  determined been temporary jovian orbit    comet shoemaker-levy e may remain orbit around jupiter long enough allow galileo make closeup observation  orbital trajectory comet shoemaker-levy still determined  positional uncertainty s-l e   assume galileo within meter   without hga  pretty good idea imaging  hga working  could slew around near real time le speed light delay  imaging toutatis  someone get lucky guess find first image     also imagine s-l e mostly visual image  affect imaging mission  lga  real tight allocation bandwidth   may premature hope answer thought i'd throw floor  pat  
11,keywords: et svga pixel clock summary: anybody know set et svga pixel clock lines:   like program tseng et nonstandard x mode switching standard x mode using bios changing timing detail xd register x-xf select  mhz pixel clock need bios function selects  mhz  anybody know obtain technical info this also interested technical information tseng et trident   chipsets  much  pavel zemcik dept comp sci & eng technical university brno bozetechova        cs-  brno czech republic e-mail:   
12,reply-to:  lines:    in-reply-to:   preston lisa m  trident card fullview work real gif jpg try it# dave 
13,article-id: srlpgf lines:    rob unverzagt writes:  in article   ron baalke writes:  according iau circular # comet shoemaker-levy e may  temporarily orbit around jupiter  comet apparently made  close flyby jupiter sometime  resulting breakup  comet  attempt determine comet's orbit complicated  near impossibility measuring comet's center mass   am missing something -- knowing comet's center of mass orbit determination  shag  i'm sure almost sound like can't figure  nucleus within coma they're couple hundred mile well imagine rest  -- phil fraering         seems like every day find sort stuff like ancient mayan televison repo man 
